type,wgl,date,loc,vip,price
库里南 2018款 五座版,3,2020/8/1,成都,9年黄金会员,588.8
揽胜极光 2015款 2.0T 五门风尚版,9.2,2016/3/1,南宁,9年钻石会员,13.88
魅影 2013款 6.6T 标准型,4,2016/6/1,深圳,8年会员,318
奔驰G级AMG 2021款 AMG G 63,0.4,2023/5/1,北京,11年钻石会员,288.8
魅影 2013款 6.6T 标准型,1.3,2017/3/1,北京,11年钻石会员,368.8
宝马X7 2022款 xDrive40i 行政型M运动套装,2,2022/7/1,北京,1年黄金会员,99.8
菱智 2019款 V3 1.6L 2座物流版,3.1,2020/3/1,上海,4年黄金会员,3.88
奔驰A级 2020款 改款 A 200 L 运动轿车时尚型,6.2,2020/5/1,成都,7年黑金会员,16.6
宝马X6 2015款 xDrive35i 领先型,9,2016/1/1,哈尔滨,5年黑金会员,33.98
发现 2013款 3.0 SDV6 HSE 柴油版,9.5,2013/8/1,成都,7年黑金会员,31.6
威霆 2021款 2.0T 自动,7.5,2021/3/1,南宁,9年钻石会员,37.7
奔驰GL级 2014款 GL 400 4MATIC动感型,16,2014/6/1,郑州,2年黄金会员,28.6
MINI 2007款 1.6L COOPER Fun,7,2007/9/1,厦门,2年黄金会员,4.38
迈锐宝XL 2018款 530T 自动锐驰版,3.4,2018/11/1,无锡,4年黑金会员,8.2
奔驰E级 2019款 改款 E 300 L 时尚型,5.7,2019/7/1,泉州,5年黑金会员,34.38
奥德赛 2019款 2.0L 锐·畅享版,7.4,2020/3/1,三明,10年黑金会员,19.8
宝马3系 2018款 320i M运动套装,6.5,2018/10/1,无锡,4年黑金会员,15.7
凯迪拉克XT6 2020款 28T 六座风尚型,5.8,2020/8/1,佛山,10年钻石会员,24.63
揽胜运动版 2022款 3.0 L6 耀黑版,1.95,2022/1/1,西安,8年钻石会员,80.9
揽胜运动版 2015款 3.0 SC V6 HSE DYNAMIC,15,2015/4/1,北京,4年钻石会员,35
奔驰C级 2021款 C 260 L 运动星耀臻藏版,1.6,2021/6/1,常州,7年黑金会员,27.98
Panamera 2016款 Panamera Executive Edition 3.0T,5.74,2016/7/1,上海,4年黑金会员,58.8
开拓者 2022款 轻混 650T RS Twin-Clutch四驱7座 擎版,0.51,2022/12/1,乌鲁木齐,7年钻石会员,24.5
奔驰G级 2022款 G 400 d 柴油欧规版,0.22,2023/7/1,西安,5年黑金会员,183.9
宝马X6 2015款 xDrive35i 豪华型,7,2015/3/1,无锡,8年黑金会员,35.8
奔驰E级 2020款 E 300 L 运动时尚型,3.5,2020/4/1,成都,11年黑金会员,31.88
迈腾 2019款 330TSI DSG 豪华型 国VI,6.7,2018/12/1,成都,11年黑金会员,12.98
雷克萨斯ES 2020款 300h 卓越版,3.7,2021/10/1,成都,11年黑金会员,31.58
保时捷718 2018款 Boxster 2.0T,3.3,2019/6/1,广州,7年钻石会员,46.8
奥迪S4 2020款 S4 3.0TFSI,3.3,2021/7/1,广州,7年钻石会员,36.98
标致508 2012款 2.0L 自动豪华版,7.8,2013/5/1,成都,11年黑金会员,4.28
途昂 2019款 380TSI 四驱豪华版 国VI,4,2019/9/1,石家庄,7年黄金会员,22.38
MINI 2021款 1.5T COOPER 经典派,0.85,2021/1/1,长沙,3年黄金会员,18.95
MINI JCW 2018款 2.0T JOHN COOPER WORKS ALL-IN,4.6,2019/7/1,长沙,3年黄金会员,24.55
奔驰GLC 2017款 GLC 200 4MATIC,6.8,2017/3/1,北京,4年黄金会员,21.98
途昂 2019款 380TSI 四驱豪华版 国V,8,2019/5/1,重庆,7年黄金会员,20.39
奥迪A6L 2020款 45 TFSI 臻选动感型,6.6,2020/10/1,佛山,8年钻石会员,30.98
奔驰C级AMG 2019款 AMG C 43 4MATIC 轿跑车,1.2,2021/5/1,上海,10年钻石会员,51.8
红旗H9 2020款 3.0T 智联旗领四座版,5,2021/7/1,北京,5年钻石会员,29.98
宝马X5(进口) 2021款 改款 xDrive30i M运动套装,1.94,2021/7/1,南宁,1年黑金会员,57.3
Macan 2020款 Macan 2.0T,2.3,2020/11/1,成都,11年黑金会员,43.58
一汽-大众CC 2020款 330TSI 魅颜版 国VI,2.6,2020/2/1,成都,11年黑金会员,16.98
Panamera 2016款 Panamera 4 Executive Edition 3.0T,4.3,2016/8/1,北京,2年钻石会员,54.68
奥迪A3 2020款 改款 Sportback 35 TFSI 进取型 国VI,2.6,2020/7/1,徐州,3年黄金会员,11.88
普拉多(进口) 2016款 4.0L 中东版,4.4,2016/10/1,成都,11年黑金会员,39.98
艾瑞泽GX 2019款 1.5T CVT新型色版 国V,2.6,2020/7/1,佛山,3年黄金会员,5.58
哈弗H6 2020款 1.5GDIT 自动铂金冠军版,1.1,2020/9/1,佛山,3年黄金会员,7.88
途昂 2023款 330TSI 两驱尊崇豪华版,0.15,2023/6/1,济南,8年黑金会员,27.35
宝马2系旅行车 2018款 218i 领先型,7.7,2019/11/1,海口,2年黄金会员,10.58
揽胜 2018款 3.0T HSE 中东版,7.5,2019/1/1,成都,7年黑金会员,92.6
君越 2019款 28T 豪华型,4.12,2020/3/1,合肥,4年黑金会员,13.68
沃尔沃XC60 2022款 B5 四驱智逸豪华版,0.16,2023/4/1,武汉,1年黑金会员,29.3
奔驰A级 2021款 A 200 L 运动轿车时尚型,1,2020/11/1,长沙,9年黄金会员,17.58
逸动 2021款 PLUS 蓝鲸NE 1.4T GDI DCT尊贵型,1.7,2021/6/1,重庆,6年黄金会员,6.38
宝马X3 2020款 xDrive28i 豪华套装,1.9,2020/10/1,武汉,1年黑金会员,30.8
奥迪Q7 2018款 40 TFSI 舒适型,4.3,2018/8/1,武汉,1年黑金会员,36.9
奇骏 2014款 2.0L CVT舒适版 2WD,8.8,2016/1/1,合肥,4年黑金会员,7.98
小蚂蚁 2022款 甜粉款 半糖版 磷酸铁锂 29.2kWh 30kW 301km,2.61,2022/2/1,合肥,4年黑金会员,5.28
奥迪A6L 2021款 45 TFSI 臻选动感型,2.3,2021/8/1,武汉,6年钻石会员,34.58
朗逸 2019款 280TSI DSG舒适版 国VI,3.6,2020/10/1,合肥,4年黑金会员,8.88
埃尔法 2018款 改款 3.5L 豪华版,7.38,2018/7/1,南宁,1年黑金会员,80.7
发现 2016款 3.0 SC V6 SE,12,2016/8/1,青岛,8年黄金会员,40.8
Cayenne 2019款 Cayenne Coupé 3.0T,2.4,2021/2/1,武汉,1年黑金会员,85.8
奔驰GLC 2019款 GLC 200 L 4MATIC,8,2018/8/1,长沙,12年黑金会员,22.6
宝马3系 2018款 318Li,7.1,2018/8/1,合肥,4年黑金会员,14.68
YARiS L 致炫 2021款 1.5L CVT领先版,2.11,2021/6/1,合肥,4年黑金会员,6.38
卡罗拉 2021款 TNGA 1.5L CVT先锋版,1.7,2022/5/1,合肥,4年黑金会员,8.23
奔驰GLC 2021款 GLC 300 L 4MATIC 动感型,5.5,2021/1/1,北京,3年会员,37.98
奔驰A级 2021款 A 200 L 运动轿车时尚型,1,2021/8/1,丽水,2年黄金会员,17.98
奥迪A3 2020款 Sportback 35 TFSI 进取型 国VI,1.5,2020/6/1,成都,9年黄金会员,11.68
亚洲龙 2019款 2.0L XLE尊享版 国VI,1.6,2020/10/1,东莞,4年黄金会员,15.98
宝马X5(进口) 2020款 xDrive40i M运动套装,6.1,2020/4/1,重庆,6年黑金会员,57.94
奥迪Q5(进口) 2013款 45 TFSI quattro 运动型,8.1,2015/7/1,北京,2年黄金会员,16.8
普拉多 2018款 3.5L 自动TX,7.78,2020/8/1,郑州,11年黑金会员,46.39
秦PLUS 2021款 DM-i 55KM 尊贵型,0.97,2023/2/1,合肥,4年黑金会员,8.96
奔驰C级 2021款 C 260 L 运动星耀臻藏版,2.8,2021/5/1,重庆,6年黄金会员,26.78
宋PLUS新能源 2021款 DM-i 51KM 尊荣型,1.6,2021/8/1,广州,5年黄金会员,11.58
凯迪拉克XT4 2021款 28T 两驱领先型,3.6,2021/11/1,济南,8年黑金会员,17.9
宝马5系 2014款 528Li 领先型,8,2015/9/1,成都,9年黄金会员,17.58
帝豪 2022款 第4代 1.5L CVT旗舰型,1.48,2022/6/1,合肥,4年黑金会员,6.56
宝马X3 2020款  xDrive28i M运动套装,4,2020/7/1,成都,1年黄金会员,30.28
领克06 2020款 1.5T 耀Halo,2.75,2021/11/1,合肥,4年黑金会员,9.43
锐志 2013款 2.5V 尚锐版,13.3,2014/7/1,东莞,5年黄金会员,9.68
海豚 2021款 405km 时尚版,1.2,2022/5/1,合肥,4年黑金会员,9.49
宝马X3 2019款 xDrive28i M运动套装,6.2,2019/8/1,合肥,4年黑金会员,26.99
沃尔沃S90 2021款 B5 智远豪华版,4.26,2021/1/1,合肥,4年黑金会员,25.38
凯迪拉克XT5 2018款 25T 豪华型,4,2019/6/1,无锡,2年黄金会员,18.58
途观 2012款 1.8TSI 自动两驱菁英版,7.9,2013/2/1,上海,6年钻石会员,4.75
MINI 2022款 1.5T COOPER 艺术家,3.25,2021/10/1,合肥,4年黑金会员,19.17
君威 2010款 2.0L 世博版,9,2010/8/1,上海,1年黄金会员,1.5
Cayenne新能源 2021款 Cayenne E-Hybrid 2.0T,1.8,2021/4/1,武汉,1年钻石会员,76.7
宝马X3 2022款 xDrive30i 领先型 M曜夜套装,3,2022/2/1,长沙,12年黑金会员,36.8
朗逸 2019款 1.5L 自动风尚版 国VI,4,2021/2/1,青岛,2年黄金会员,7.88
揽胜运动版 2017款 3.0 SC V6 SE,9.8,2017/10/1,青岛,2年黄金会员,42.8
一汽-大众CC 2018款 1.8TSI 豪华型,10.2,2018/8/1,郑州,4年黄金会员,11.3
奥迪A4L 2020款 40 TFSI 时尚动感型,3.5,2021/8/1,广州,4年黄金会员,22.8
奔驰E级 2021款 改款 E 260 L 运动型,2.7,2021/6/1,西安,2年黄金会员,36.88
雷克萨斯ES 2020款 300h 卓越版,6.55,2020/2/1,惠州,1年钻石会员,30.2
汉 2022款 EV 610KM四驱千山翠限量版,3.43,2022/10/1,惠州,1年钻石会员,23.98
奔驰GLC轿跑 2019款 GLC 260 4MATIC 轿跑SUV,2.08,2019/11/1,惠州,1年钻石会员,30.58
奥迪A6L 2017款 30 FSI 技术型,5,2017/6/1,无锡,8年黑金会员,23.8
奔驰CLS 2020款 CLS 300 动感型,0.8,2020/5/1,上海,6年黄金会员,47.8
一汽-大众CC 2021款 380TSI 夺目版,6.51,2021/5/1,西安,5年钻石会员,18.49
凯迪拉克ATS-L 2017款 28T 技术型,10,2017/11/1,北京,3年黄金会员,10.98
上汽大通MAXUS G50 2020款 1.5T 自动豪华版,5,2021/8/1,昆明,1年黄金会员,8.86
领克01 2017款 2.0T 四驱劲Pro版,3.62,2018/6/1,西安,5年钻石会员,9.88
英朗 2021款 典范 1.5L 自动精英型,2.49,2020/7/1,西安,5年钻石会员,6.38
奥迪Q7 2014款 35 TFSI 进取型,10.15,2015/1/1,郑州,14年钻石会员,18.8
宝马1系 2018款 118i 运动型,6.75,2018/7/1,西安,5年钻石会员,10.18
Macan 2022款 Macan 2.0T,0.3,2022/8/1,上海,6年黄金会员,55.5
红旗H9 2020款 2.0T 智联旗畅版,2.2,2022/6/1,郑州,6年钻石会员,24.9
威朗 2018款 三厢 20T 双离合领先型,4.91,2018/9/1,西安,5年钻石会员,6.88
科鲁泽 2020款 轻混 RS 330T 自动畅快版 ,3.77,2020/7/1,西安,5年钻石会员,5.98
奥迪Q3 Sportback 2022款 40 TFSI 时尚型,3.1,2022/1/1,沈阳,1年钻石会员,21.7
揽胜 2016款 5.0 SC V8 AB 尊崇创世加长版,8,2016/5/1,北京,1年黄金会员,99.8
迈腾 2016款 1.8TSI 智享领先型,8.15,2016/10/1,西安,5年钻石会员,8.72
宝马4系 2021款 430i M运动曜夜版,4.3,2021/6/1,成都,4年黄金会员,42.18
坦克300 2021款 越野版 2.0T 征服者,1.1,2022/7/1,重庆,2年黄金会员,21.28
驱逐舰05 2022款 DM-i 120KM 旗舰型,0.54,2022/8/1,西安,5年钻石会员,11.38
星越L 2021款 2.0TD 高功自动四驱尊贵型,1.57,2022/8/1,西安,5年钻石会员,15.13
奥迪A6L 2008款 2.0T 自动标准型,15,2008/7/1,北京,5年钻石会员,3.45
宝马3系 2021款 325i M运动曜夜套装,5,2020/11/1,东莞,9年黄金会员,23.68
哈弗H6 2015款 运动版 1.5T 自动两驱豪华型,8.5,2015/9/1,成都,3年黄金会员,4.1
宏光MINIEV 2022款 马卡龙时尚款 三元锂,0.4,2022/10/1,广州,1年黄金会员,3.38
雷克萨斯ES 2015款 300h 舒适版,10,2017/10/1,东莞,6年黄金会员,19.88
奔驰G级 2013款 G 500,9.2,2013/5/1,北京,11年钻石会员,82.8
宏远EM60 2020款 厢式运输车KMT5030XXYBEV平顶背掀门,2.5,2021/12/1,东莞,4年黄金会员,6.38
奥迪A4L 2020款 40 TFSI 时尚动感型,2.87,2021/3/1,重庆,11年黄金会员,21.68
奔驰E级 2021款 E 300 L 运动时尚型,1.6,2021/1/1,长沙,1年黄金会员,39.98
博瑞 2015款 1.8T 尊贵型,7.8,2015/8/1,郑州,3年黄金会员,3.88
皇冠 2009款 2.5L Royal特别导航版,15,2009/6/1,重庆,7年钻石会员,8.98
瑞虎5 2016款 2.0L CVT家悦版,8,2016/3/1,长沙,11年黑金会员,3.28
Levante 2019款 3.0T 标准版 国V,4.9,2020/4/1,东莞,9年黄金会员,59.8
马自达3 2012款 1.6L 自动经典标准型,7,2012/12/1,台州,4年黄金会员,2.98
凯迪拉克XTS 2018款 28T 技术型,8,2018/3/1,东莞,5年黄金会员,14.88
探岳 2020款 330TSI 两驱豪华智联版,1.4,2020/12/1,广州,7年黄金会员,15.39
捷豹XK 2006款 4.2L V8敞篷跑车,7,2007/12/1,济南,13年黄金会员,26.8
总裁 2013款 3.0T 标准型,9,2014/7/1,北京,1年黄金会员,34.28
途达 2018款 2.5L 自动两驱豪华版,6,2018/5/1,哈尔滨,2年黄金会员,11.5
途昂X 2019款 380TSI 四驱尊崇豪华版,5.6,2019/9/1,哈尔滨,2年黄金会员,19.8
领翔 2009款 2.0L AT TOP,7.9,2009/10/1,北京,1年黄金会员,2.8
宝马X1 2016款 sDrive18Li 尊享型,9.8,2016/10/1,太原,5年黄金会员,10.58
奔驰A级(进口) 2019款 A 200 时尚型,1.95,2020/9/1,郑州,3年会员,16.68
雷克萨斯LM 2020款 300h 四座御世版,4,2021/12/1,北京,1年黄金会员,135.8
途观L新能源 2022款 430PHEV 插电混动尊贵版,2.19,2022/3/1,郑州,1年会员,18.48
奔驰E级(进口) 2021款 E 260 轿跑车,3.2,2021/3/1,重庆,8年钻石会员,40.8
长安UNI-T 2020款 1.5T 尊贵型,2.8,2021/2/1,东莞,3年钻石会员,8.88
凯美瑞 2010款 200G 豪华版,16,2010/6/1,广州,6年黄金会员,3.5
福克斯 2021款 三厢 EcoBoost 180 自动锋潮型,1,2022/1/1,成都,9年黄金会员,9.98
Cayenne 2011款 Cayenne 3.0T,14,2013/4/1,重庆,5年黄金会员,26.98
星瑞 2021款 2.0TD 时空版星辰,0.87,2022/6/1,成都,3年黄金会员,11.8
奥迪RS 6 2022款 RS 6 4.0T Avant,2,2022/5/1,北京,1年黄金会员,142
高尔夫 2021款 280TSI DSG Pro,1.8,2022/3/1,潍坊,1年黑金会员,12.48
速腾 2018款 280TSI DSG熠动版,7,2019/3/1,哈尔滨,2年黄金会员,7.8
Cayenne 2016款 Cayenne 3.0T,10,2017/10/1,北京,5年黄金会员,49.8
宝马X3 2018款 xDrive30i 领先型 M运动套装 国V,8.9,2019/3/1,重庆,1年黄金会员,25.68
奥迪Q7 2021款 45 TFSI quattro S line运动型,3,2021/6/1,东莞,7年黄金会员,50.88
MINI 2016款 1.2T ONE 先锋派,4.88,2018/1/1,成都,9年黄金会员,11.3
神行者2 2014款 2.0T Si4 HSE汽油版,11,2014/10/1,苏州,1年黄金会员,9.88
卡罗拉 2014款 1.6L CVT GLX-i,10,2014/8/1,泉州,1年黄金会员,4.98
景逸X5 2017款 1.6L 手动尊享型,8.4,2017/5/1,南宁,5年黄金会员,3.38
Macan 2014款 Macan Turbo 3.6T,8,2015/8/1,杭州,3年黄金会员,30.8
蔚来ES6 2020款 600KM 运动版,2,2022/4/1,苏州,1年黄金会员,18.88
雪铁龙C5 2011款 2.3L 自动尊驭型,8.9,2011/10/1,苏州,3年黄金会员,1.7
君越 2010款 2.4L雅致版,9.5,2010/4/1,苏州,3年黄金会员,1.99
别克GL8 2023款 ES陆尊 尊享型,0.01,2023/9/1,郑州,3年黄金会员,34.19
轩逸 2018款 经典 1.6XE+ CVT领先版,3,2018/9/1,济南,1年黄金会员,5.98
启辰D60 2019款 十万荣耀 1.6L XL CVT辰酷版 国V,5,2020/11/1,东莞,8年黄金会员,5.38
途锐 2011款 3.0TSI 高配型,14,2015/8/1,广州,1年黄金会员,16.98
捷达VS7 2020款 1.4T 自动悦享型,4.8,2020/10/1,宁波,1年会员,8.39
英朗 2016款 15N 自动豪华型,6.8,2016/6/1,苏州,2年钻石会员,4.58
发现神行 2018款 240PS PURE版,8.31,2018/8/1,石家庄,1年黄金会员,15.6
雷克萨斯RX 2016款 300 两驱精英版 国VI,8,2019/2/1,温州,3年黄金会员,26.8
奔驰E级 2021款 E 300 L 运动豪华型,4.9,2020/11/1,东莞,5年黄金会员,39.98
宝马1系 2021款 120i M运动版,3,2021/1/1,东莞,4年黄金会员,10.98
宝马3系 2018款 320Li 时尚型,8,2018/4/1,青岛,3年黄金会员,15.8
红旗H5 2020款 1.8T 自动智联旗享版,1.8,2021/1/1,南宁,1年黄金会员,8.58
宝马5系 2014款 525Li 领先型,9.31,2014/5/1,上海,4年黄金会员,16.38
奥迪A6(进口) 2021款 allroad quattro 探索家 55 TFSI 尊享越野型,1.1,2021/10/1,温州,11年黄金会员,46.7
别克GL8 2017款 25S 舒适型 国V,12.8,2017/11/1,青岛,10年黄金会员,12.5
航海家 2021款 2.7T 四驱尊耀版,0.7,2022/3/1,武汉,6年黄金会员,30.5
Macan 2022款 Macan 2.0T,1,2022/8/1,杭州,5年会员,56.88
悍马H2 2008款 6.2 AT,9.8,2010/6/1,青岛,2年黄金会员,44.6
奔驰GLE 2017款 GLE 320 4MATIC 动感型,6,2019/1/1,青岛,2年黄金会员,39.8
Cayman 2013款 Cayman 2.7L,6,2016/5/1,青岛,2年黄金会员,26.8
奔驰GLE 2016款 GLE 320 4MATIC 豪华型,9,2016/10/1,青岛,2年黄金会员,33.9
SAVANA 2014款 5.3L 1500S,4,2016/7/1,青岛,2年黄金会员,28.8
别克GL8 2017款 ES 28T 尊享型 国V,10.3,2018/9/1,上海,4年黄金会员,15.88
奔驰S级 2022款 S 580 美规版,0.3,2022/11/1,广州,4年黄金会员,158.8
君威 2009款 2.4L 旗舰版,9.5,2010/5/1,苏州,3年黄金会员,1.85
奔驰C级 2013款 C 260 时尚型 Grand Edition,11,2014/3/1,广州,2年黄金会员,7.28
问界M7 2022款 1.5T 增程式 两驱舒适版,0.01,2022/12/1,南通,2年黄金会员,22.68
SWM斯威X7 2018款 改款 1.5T 自动智享互联版 7座,4.7,2018/12/1,温州,5年黄金会员,3.88
远景X6 2016款 1.3T CVT旗舰型,4,2018/4/1,温州,5年黄金会员,4.28
马自达3 昂克赛拉 2017款 三厢 1.5L 自动舒适型 国V,5.9,2017/12/1,杭州,3年黄金会员,6.6
宝马5系 2013款 520Li 典雅型,12.5,2013/8/1,苏州,3年黄金会员,9.98
揽胜 2019款 3.0 SC V6 传世加长版,11,2019/12/1,杭州,9年黄金会员,109
皇冠 2012款 2.5L Royal 真皮版,8,2014/9/1,佛山,4年黄金会员,14.98
Ghibli 2014款 3.0T 标准版,8.5,2015/11/1,福州,11年会员,29.8
别克GL8 2017款 25S 豪华型 国V,10.28,2018/7/1,上海,4年黄金会员,11.18
奔驰V级 2018款 V 260 L 尊贵加长版 国V,7.8,2019/2/1,温州,5年黄金会员,32.98
飞度 2014款 1.5L EXLI CVT领先型,7.7,2014/7/1,宁波,5年黄金会员,4.28
Polo 2013款 1.6L 自动舒适版,9.6,2013/2/1,宁波,5年黄金会员,2.78
揽胜 2017款 3.0 SC V6 Vogue,11,2018/3/1,武汉,5年黄金会员,75.8
兰德酷路泽(进口) 2016款 4.0L 中东版,8,2018/4/1,台州,5年黄金会员,57
Rapide 2010款 6.0L,7,2012/5/1,成都,8年钻石会员,56.8
坦克300 2021款 越野版 2.0T 征服者,0.6,2021/10/1,温州,1年黄金会员,20.8
凯迪拉克XT5 2017款 周年庆版 25T 豪华型,10.8,2016/11/1,南宁,6年黄金会员,14.88
威霆 2021款 2.0T 精英版 7座,1.9,2022/2/1,济南,12年黄金会员,31.8
奔驰GLC 2020款 改款 GLC 300 L 4MATIC 动感型,2.25,2020/5/1,襄阳,8年黄金会员,34.9
宝马X3(进口) 2016款 sDrive20i,8.31,2017/5/1,南昌,9年钻石会员,15.9
宝马5系GT 2011款 535i 典雅型,16,2011/6/1,温州,5年黄金会员,9.58
骐达TIIDA 2011款 1.6L CVT舒适型,9,2012/5/1,佛山,6年钻石会员,3.88
保时捷718 2018款 Boxster 2.0T,1.8,2020/9/1,南京,4年钻石会员,49.8
宝马3系 2020款 325Li M运动曜夜套装,8,2020/5/1,东莞,6年黄金会员,23.99
奔驰GLC 2018款 改款 GLC 260 4MATIC 动感型,6.9,2018/10/1,杭州,3年黄金会员,24.18
HIACE 2021款 3.5L 中东版,0.65,2023/6/1,济南,12年黄金会员,48
RAM Trucks 2019款 5.7L 自动,3,2020/8/1,青岛,2年黄金会员,39.8
帕萨特 2023款 330TSI 星空精英版,0.01,2023/8/1,合肥,5年黄金会员,18.2
途昂X 2020款 380TSI 四驱豪华版,6,2021/1/1,苏州,1年会员,21.8
雷克萨斯ES 2018款 200 卓越版 国V,3.4,2018/12/1,泉州,2年黄金会员,20.8
蓝鸟 2020款 1.6L CVT炫酷版,1.8,2020/1/1,宁波,1年会员,7.28
Model 3 2020款 标准续航后驱升级版,2.29,2020/10/1,成都,2年黄金会员,16.9
比亚迪e5 2017款 300 尊贵型,4.6,2017/8/1,石家庄,3年黄金会员,4.88
Macan 2016款 Macan 2.0T,9,2015/12/1,成都,3年黄金会员,24.8
Panamera 2016款 Panamera Executive Edition 3.0T,7,2016/9/1,成都,3年黄金会员,48.8
Ghibli 2014款 3.0T S Q4,8,2014/11/1,成都,3年黄金会员,32.8
君威 2017款 20T 精英型,4.8,2018/1/1,东莞,1年会员,8.58
福特F-150 2019款 3.5T 猛禽性能劲化版,4.6,2021/4/1,沈阳,3年钻石会员,65
Model Y 2022款 后轮驱动版,1.49,2022/11/1,杭州,3年黄金会员,23.19
smart fortwo 2015款 1.0L 52千瓦硬顶灵动版,4.5,2017/9/1,青岛,1年黄金会员,6.5
捷豹I-PACE 2018款 EV400 SE,5.1,2019/12/1,青岛,1年黄金会员,19.8
Cayenne 2011款 Cayenne Turbo 4.8T,8.5,2012/10/1,青岛,1年黄金会员,37.8
雷克萨斯LS 2018款 500h 行政版 国V,7.8,2019/6/1,青岛,1年黄金会员,59.98
奥迪A6L 2021款 40 TFSI 豪华动感型,7.61,2020/12/1,郑州,13年钻石会员,27.48
岚图FREE 2021款 四驱标准增程专属豪华套装,1.2,2022/9/1,南宁,9年黄金会员,19.28
smart fortwo 2012款 1.0 MHD 硬顶标准版,8,2014/5/1,东莞,1年会员,3.68
威霆 2021款 2.0T 商务版 7座,6,2021/10/1,温州,2年黄金会员,37.99
马自达3 昂克赛拉 2017款 三厢 1.5L 自动豪华型 国V,7.2,2018/10/1,南京,3年会员,6.9
君威 2015款 1.6T 领先技术型,7.2,2016/11/1,上海,6年钻石会员,4.75
英朗 2021款 典范 1.5L 自动精英型,6.3,2020/12/1,上海,6年钻石会员,4.5
奥迪A6L 2014款 TFSI 标准型,12,2014/7/1,哈尔滨,5年黑金会员,13.5
揽胜运动版 2017款 3.0 SC V6 HSE,4.6,2017/6/1,苏州,6年会员,48.8
坦途 2020款 5.7L  自动,9,2020/9/1,石家庄,9年钻石会员,34.68
高尔夫 2015款 1.4TSI 自动舒适型,6.8,2015/8/1,东莞,2年黄金会员,6.63
雷克萨斯GX 2022款 460 美规版,1,2022/6/1,成都,10年黄金会员,103.8
宝马X5(进口) 2020款 xDrive40i 尊享型 M运动套装,8,2020/10/1,成都,3年黄金会员,55.8
宝马M5 2021款 M5,3,2021/1/1,成都,3年黄金会员,85.8
途昂 2017款 380TSI 四驱旗舰版,5.7,2017/5/1,石家庄,3年黄金会员,18.5
奔驰GLA 2020款 GLA 200,1.05,2020/12/1,北京,1年黄金会员,17.9
标致408 2014款 1.8L 自动豪华版,6.8,2015/1/1,武汉,4年会员,2.45
享域 2019款 180TURBO CVT畅享版 国VI,3,2019/11/1,温州,2年会员,4.5
雪铁龙C3-XR 2015款 1.6L 自动智能型,6.2,2015/6/1,武汉,4年会员,2.52
嘉际 2019款 1.5TD MHEV DCT尊享型,6,2019/11/1,东莞,7年黄金会员,7.28
宝马5系 2019款 530Li 领先型 M运动套装,9,2018/11/1,温州,1年黄金会员,26.58
哈弗F7 2020款 1.5T 两驱i潮,4,2020/4/1,东莞,7年黄金会员,7.98
宝马3系 2021款 改款 325Li M运动曜夜套装,5.2,2021/4/1,珠海,2年黄金会员,28
创酷 2022款 创酷RS 1.5T CVT酷,0.9,2022/9/1,淄博,5年黄金会员,7.98
宝来 2021款 1.5L 自动时尚智联版,0.01,2023/9/1,长沙,7年会员,8.48
Model 3 2021款 标准续航后驱升级版,3,2021/9/1,临沂,4年黄金会员,18.5
奔驰E级 2016款 E 300 L 运动豪华型,11.65,2016/11/1,南宁,8年黄金会员,26.38
奥迪A6L 2021款 40 TFSI 豪华动感型,4.8,2021/2/1,成都,12年黑金会员,31.49
RAV4荣放 2013款 2.0L CVT四驱风尚版,8.8,2014/6/1,沈阳,8年钻石会员,8.68
奥迪Q5 2013款 40 TFSI 技术型,12.6,2014/6/1,沈阳,8年钻石会员,12.8
揽胜 2019款 3.0 SC V6 传世加长版,6,2019/8/1,济南,2年黄金会员,112.8
哈弗H6 2017款 蓝标 运动版 1.5T 手动两驱精英型,9,2017/6/1,沈阳,8年钻石会员,4.88
缤智 2017款 1.5L CVT两驱舒适型,7,2017/1/1,沈阳,8年钻石会员,6.98
宝马3系 2015款 320Li 豪华设计套装,8.38,2015/11/1,合肥,9年钻石会员,12.3
名图 2017款 1.8L 自动智能型GLS 国V,4.5,2018/8/1,沈阳,8年钻石会员,7.38
锐界 2015款 2.7T GTDi 四驱运动型 7座,13,2015/7/1,沈阳,8年钻石会员,12.38
宝马5系 2022款 改款二 530Li 尊享型 M运动套装,2.6,2022/6/1,济南,8年黑金会员,42.65
Levante 2018款 3.0T 标准版,6.72,2018/1/1,北京,4年黄金会员,48.8
领航员 2016款 3.5T AWD,12,2016/6/1,沈阳,8年钻石会员,33.98
奥迪e-tron(进口) 2021款 Sportback 55 quattro 臻选型,2.03,2021/4/1,成都,12年黑金会员,42.66
奥迪RS 5 2022款 RS 5 2.9T Coupe 黑曜版,0.36,2022/5/1,成都,12年黑金会员,78.88
天籁 2019款 2.0L XL 舒适版,4,2019/7/1,佛山,3年黄金会员,10.88
天籁 2020款 2.0L XL Upper 智行版,5.1,2019/6/1,石家庄,11年黄金会员,12.3
埃尔法 2018款 3.5L 豪华版,6.8,2018/2/1,佛山,10年钻石会员,73.18
指南者 2020款 220T 自动精英版,2,2020/9/1,无锡,11年黑金会员,9.98
宝马3系 2017款 318Li 时尚型,8,2017/6/1,无锡,11年黑金会员,13.68
凯迪拉克CT5 2021款 改款 28T 豪华型,2.3,2021/8/1,重庆,8年黄金会员,21.68
奔驰C级 2021款 C 260 L 运动版,2.8,2020/10/1,重庆,8年黄金会员,24.88
